"id","project","task","created_date","finished_date","cycle_time_days"
"P0-T5052",0,5052,2015-02-05,2015-02-04,-1
"P0-T326",0,326,2013-12-25,2013-12-24,-1
"P0-T5056",0,5056,2015-10-16,2015-10-15,-1
"P0-T324",0,324,2013-08-13,2013-08-31,18
"P0-T325",0,325,2013-12-25,2013-12-24,-1
"P0-T322",0,322,2014-09-17,2014-09-18,1
"P0-T323",0,323,2013-10-19,2013-10-18,-1
"P0-T320",0,320,2013-07-23,2013-07-24,1
"P0-T319",0,319,2013-07-27,2013-07-29,2
"P0-T317",0,317,2013-07-16,2013-09-20,66
"P0-T318",0,318,2013-07-18,2013-09-13,57
"P0-T313",0,313,2013-07-18,2013-09-09,53
"P0-T5066",0,5066,2015-02-17,2015-02-18,1
"P0-T5065",0,5065,2015-04-18,2015-04-17,-1
"P0-T312",0,312,2013-07-16,2013-08-05,20
"P0-T5059",0,5059,2015-02-08,2015-02-09,1
"P0-T5058",0,5058,2015-02-10,2015-02-11,1
"P0-T308",0,308,2013-08-18,2013-08-21,3
"P0-T6362",0,6362,2015-07-23,2015-07-27,4
"P0-T5034",0,5034,2015-02-19,2015-02-20,1
"P0-T302",0,302,2013-07-26,2014-01-13,171
"P0-T303",0,303,2013-07-14,2013-09-24,72
"P0-T301",0,301,2013-08-13,2013-08-22,9
"P0-T7686",0,7686,2016-04-28,2016-04-29,1
"P0-T7687",0,7687,2017-03-21,2017-11-09,233
"P0-T7688",0,7688,2016-04-24,2016-06-24,61
"P0-T7689",0,7689,2016-11-09,2016-11-08,-1
"P0-T5040",0,5040,2015-02-04,2015-02-06,2
"P0-T5045",0,5045,2015-02-04,2015-02-06,2
"P0-T6369",0,6369,2015-07-06,2015-07-16,10
"P0-T5096",0,5096,2015-05-09,2015-05-08,-1
"P0-T5095",0,5095,2015-05-09,2015-05-08,-1
"P0-T5094",0,5094,2015-03-02,2015-03-06,4
"P0-T5093",0,5093,2015-02-15,2015-02-16,1
"P0-T369",0,369,2013-09-15,2013-10-11,26
"P0-T5099",0,5099,2015-02-14,2015-02-24,10
"P0-T366",0,366,2013-09-27,2014-05-23,238
"P0-T367",0,367,2013-12-06,2013-12-05,-1
"P0-T364",0,364,2013-09-11,2014-03-03,173
"P0-T365",0,365,2013-12-07,2013-12-13,6
"P0-T363",0,363,2013-09-03,2013-09-17,14
"P0-T360",0,360,2014-12-21,2014-12-20,-1
"P0-T361",0,361,2013-09-17,2013-10-02,15
"P0-T357",0,357,2013-08-27,2013-09-11,15
"P0-T358",0,358,2013-08-27,2013-09-11,15
"P0-T355",0,355,2013-08-19,2013-08-20,1
"P0-T353",0,353,2013-08-26,2013-09-03,8
"P0-T354",0,354,2013-08-19,2013-08-18,-1
"P0-T352",0,352,2013-10-19,2013-10-18,-1
"P0-T5070",0,5070,2015-05-01,2015-05-02,1
"P0-T5073",0,5073,2015-02-12,2015-02-22,10
"P0-T349",0,349,2013-12-27,2014-03-06,69
"P0-T5071",0,5071,2015-05-01,2015-04-30,-1
"P0-T346",0,346,2013-08-08,2013-08-07,-1
